TIENDA_ID,PLAZA_CVE,NIVELSOCIOECONOMICO_DES,ENTORNO_DES,MTS2VENTAS_NUM,PUERTASREFRIG_NUM,CAJONESESTACIONAMIENTO_NUM,LATITUD_NUM,LONGITUD_NUM,SEGMENTO_MAESTRO_DESC,LID_UBICACION_TIENDA
126,1,BC,HOGAR,127.42,13,7,25.69107,-100.21261,HOGAR REUNIÓN,UT_DENSIDAD
681,1,C,HOGAR,128.13,13,0,25.73571,-100.18086,HOGAR REUNIÓN,UT_DENSIDAD
117,1,C,BASE,87.62,11,11,25.71883,-100.19133,HOGAR REUNIÓN,UT_DENSIDAD
682,1,C,HOGAR,90.7,13,0,25.66952,-100.20744,HOGAR REUNIÓN,UT_DENSIDAD
275,1,C,HOGAR,95.3,13,6,25.73766,-100.16116,HOGAR REUNIÓN,UT_DENSIDAD
684,1,C,BASE,116.07,13,0,25.70486,-100.15613,OFICINISTAS,UT_GAS_URBANA
694,1,C,RECESO,78.48,13,0,25.67955,-100.24328,OFICINISTAS,UT_TRAFICO_PEATONAL
272,1,C,HOGAR,100.58,12,7,25.70058,-100.2018,HOGAR REUNIÓN,UT_DENSIDAD
702,1,C,HOGAR,73.24,13,0,25.67344,-100.26084,HOGAR REUNIÓN,UT_DENSIDAD
704,1,C,BASE,107.23,13,0,25.68419,-100.22138,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
125,1,BC,HOGAR,141.9,10,6,25.69017,-100.25164,CLÁSICO,UT_TRAFICO_VEHICULAR
279,1,C,HOGAR,104.2,13,12,25.67484,-100.24412,HOGAR REUNIÓN,UT_DENSIDAD
127,1,BC,HOGAR,132.0,12,5,25.66474,-100.20913,HOGAR REUNIÓN,UT_GAS_URBANA
706,1,C,HOGAR,120.87,13,0,25.73785,-100.20217,HOGAR REUNIÓN,UT_DENSIDAD
129,1,BC,BASE,83.99,13,10,25.6808,-100.24372,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
268,1,C,BASE,121.2,13,9,25.69481,-100.23052,CLÁSICO,UT_GAS_URBANA
131,1,BC,HOGAR,99.65,12,8,25.64911,-100.26649,CLÁSICO,UT_DENSIDAD
716,1,C,HOGAR,121.21,13,0,25.7105,-100.21547,HOGAR REUNIÓN,UT_DENSIDAD
722,1,C,BASE,118.3,13,0,25.69569,-100.24609,OFICINISTAS,UT_TRAFICO_VEHICULAR
726,1,C,HOGAR,113.96,13,0,25.72278,-100.15421,HOGAR REUNIÓN,UT_DENSIDAD
135,1,BC,HOGAR,124.5,12,7,25.69272,-100.25433,CLÁSICO,UT_DENSIDAD
663,1,C,BASE,115.76,13,0,25.71882,-100.16863,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
639,1,C,HOGAR,113.85,13,0,25.71143,-100.15224,HOGAR REUNIÓN,UT_DENSIDAD
642,1,C,RECESO,88.39,13,0,25.70438,-100.22197,OFICINISTAS,UT_TRAFICO_PEATONAL
299,1,C,HOGAR,94.0,10,9,25.68426,-100.21374,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
298,1,C,PEATONAL,103.3,13,5,25.67933,-100.24593,OFICINISTAS,UT_TRAFICO_PEATONAL
644,1,C,BASE,105.69,13,0,25.7036,-100.15854,HOGAR REUNIÓN,UT_TRAFICO_PEATONAL
296,1,C,HOGAR,86.0,13,5,25.66105,-100.25257,CLÁSICO,UT_GAS_URBANA
652,1,C,BASE,113.23,14,0,25.65635,-100.26234,CLÁSICO,UT_TRAFICO_VEHICULAR
653,1,C,HOGAR,112.09,13,0,25.69885,-100.12075,CLÁSICO,UT_DENSIDAD
292,1,C,HOGAR,114.0,13,11,25.72188,-100.20232,HOGAR REUNIÓN,UT_GAS_URBANA
291,1,C,HOGAR,108.91,13,10,25.68419,-100.24388,HOGAR REUNIÓN,UT_DENSIDAD
731,1,C,BASE,117.97,15,0,25.67493,-100.20706,HOGAR REUNIÓN,UT_GAS_URBANA
289,1,C,HOGAR,114.04,13,9,25.70314,-100.23122,HOGAR REUNIÓN,UT_GAS_URBANA
288,1,D,BASE,104.0,13,11,25.67442,-100.20493,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
667,1,C,HOGAR,122.19,13,0,25.73719,-100.15527,HOGAR REUNIÓN,UT_DENSIDAD
668,1,C,HOGAR,93.08,13,0,25.72812,-100.18563,HOGAR REUNIÓN,UT_DENSIDAD
285,1,A,HOGAR,130.46,13,7,25.64192,-100.26826,CLÁSICO,UT_DENSIDAD
671,1,C,BASE,114.21,13,0,25.67863,-100.26725,HOGAR REUNIÓN,UT_TRAFICO_VEHICULAR
674,1,C,HOGAR,114.34,13,0,25.69528,-100.20643,HOGAR REUNIÓN,UT_DENSIDAD
281,1,BC,HOGAR,121.54,13,8,25.69659,-100.25507,HOGAR REUNIÓN,UT_DENSIDAD
